Ion_rad_avg,BP_avg,MP_avg,Density_avg,At_wt_avg,Cov_rad_avg,Ion_Energy_avg,Elec_Aff_avg,At_vol_avg,Thermal_expn_avg,Sp_heat_cap_avg,Therm_cond_avg,Elec_cond_avg,Heat_fusion_avg,Heat_vap_avg,Electronegativity_avg,At_num_avg,Period_avg,Group_avg,Ox_state_avg,Ion_rad_diff,BP_diff,MP_diff,Density_diff,At_wt_diff,Cov_rad_diff,Ion_Energy_diff,Elec_Aff_diff,At_vol_diff,Thermal_expn_diff,Sp_heat_cap_diff,Therm_cond_diff,Elec_cond_diff,Heat_fusion_diff,Heat_vap_diff,Electronegativity_diff,At_num_diff,Period_diff,Group_diff,Ox_state_diff,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
0.53,4575.0,2434.5,7.825,94.65,1.13,721.3,13.5,9.1,5.3,0.585,25.0,1.7,22.18,584.435,1.67,38.5,4.0,8.5,3.5,0.3,300.0,69.5,5.485,83.84,0.31,79.3,13.5,4.5,0.6,0.445,2.0,1.7,0.42,76.635,0.37,33.5,2.0,4.5,0.5,True,False,False,False,False,False,False,False,False,False
0.815,4220.0,2551.0,15.835,178.73,1.415,714.5,80.0,13.445,7.25,0.15,50.95,6.75,23.22,460.24,1.72,72.0,6.0,5.5,3.5,0.185,1080.0,749.0,6.765,11.47,0.155,125.5,30.0,4.955,2.15,0.02,36.65,5.55,6.07,167.36,0.48,4.0,0.0,2.5,0.5,True,False,False,False,False,False,False,False,False,False
1.16,3093.5,1489.5,7.78,153.37,1.615,551.0,50.0,19.8,8.25,0.18,13.6,1.35,10.97,256.84,1.18,63.0,6.0,3.0,3.0,0.13,253.5,195.5,0.77,9.13,0.025,21.0,0.0,0.8,1.35,0.01,2.9,0.25,0.09,26.84,0.04,3.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False
1.09,2628.5,1370.5,4.89,99.505,1.665,576.9,-53.0,22.55,15.85,0.415,105.55,16.1,9.665,224.835,1.1,42.5,5.0,2.5,2.5,0.09,871.5,258.5,3.34,59.425,0.075,12.9,103.0,3.35,6.45,0.235,94.45,15.2,1.135,70.165,0.1,22.5,1.0,0.5,0.5,True,False,False,False,False,False,False,False,False,False
0.385,3507.5,1649.25,2.52,18.895,1.0,689.1,36.0,7.3,13.9,0.965,132.0,18.85,16.65,399.3,1.825,9.0,2.5,13.0,3.0,0.155,767.5,715.75,0.18,8.085,0.18,111.5,9.0,2.7,9.2,0.065,105.0,18.85,5.95,108.5,0.215,4.0,0.5,0.0,0.0,True,False,False,False,False,False,False,False,False,False
0.72,4021.0,2116.79,14.76,146.455,1.32,787.5,159.37,9.8,9.5,0.19,227.5,33.05,24.18,457.415,2.35,60.5,5.5,8.5,4.5,0.13,891.0,779.21,4.54,50.515,0.02,102.6,63.37,0.4,4.7,0.06,89.5,15.75,11.82,132.985,0.19,18.5,0.5,2.5,1.5,True,False,False,False,False,False,False,False,False,False
1.38,639.59,383.215,5.93,73.93,1.2,1059.4,174.4,15.0,15.4,0.355,48.405,7.35,4.64,55.035,2.425,32.5,4.0,14.5,1.5,0.43,400.41,211.045,2.72,38.48,0.21,191.7,174.4,1.9,15.4,0.125,48.395,7.35,1.43,44.835,0.735,15.5,1.0,2.5,0.5,True,False,False,False,False,False,False,False,False,False
0.995,3559.0,1681.54,8.505,99.545,1.395,695.5,87.85,12.2,12.3,0.255,225.85,32.6,16.15,420.565,1.63,43.5,5.0,7.5,2.5,0.155,1123.0,446.46,1.995,8.325,0.055,35.5,37.85,1.9,6.6,0.025,203.15,30.3,4.85,169.935,0.3,3.5,0.0,3.5,1.5,True,False,False,False,False,False,False,False,False,False
0.68,2620.0,1622.0,8.17,56.815,1.16,727.05,55.5,6.99,17.55,0.46,49.26,7.55,15.92,298.62,1.73,26.5,4.0,8.5,3.0,0.01,385.0,104.0,0.73,1.875,0.01,9.65,55.5,0.4,4.15,0.02,41.44,7.05,1.28,78.88,0.18,1.5,0.0,1.5,1.0,True,False,False,False,False,False,False,False,False,False
1.06,3691.5,1503.5,8.305,157.545,1.605,525.9,50.0,19.225,6.7,0.17,13.9,1.45,13.9,334.4,1.195,64.5,6.0,3.0,3.0,0.08,23.5,432.5,1.535,17.425,0.045,1.9,0.0,1.445,1.5,0.02,2.5,0.05,4.7,20.6,0.075,6.5,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False
0.85,2036.0,1031.295,8.595,131.96,1.315,710.35,55.0,14.345,17.55,0.3,7.845,0.7,12.82,199.37,1.785,54.0,5.0,11.0,3.5,0.18,199.0,486.705,1.155,77.02,0.145,7.05,55.0,6.955,4.15,0.18,0.025,0.2,1.82,20.37,0.235,29.0,1.0,4.0,0.5,True,False,False,False,False,False,False,False,False,False
1.24,1237.09,845.085,5.325,45.195,1.08,984.25,174.4,12.145,10.85,0.48,3.915,0.25,8.925,114.97,2.355,21.0,3.5,12.0,2.5,0.57,997.91,672.915,2.115,9.745,0.09,266.85,174.4,4.755,10.85,0.0,3.905,0.25,5.715,104.77,0.805,4.0,0.5,5.0,1.5,True,False,False,False,False,False,False,False,False,False
0.765,2595.0,893.19,8.135,89.14,1.305,651.85,73.65,11.4,24.3,0.31,241.3,32.05,8.2,263.42,1.84,39.0,4.5,12.0,2.5,0.035,245.0,463.41,0.825,25.68,0.135,93.55,44.65,4.3,7.8,0.08,159.7,28.65,4.94,37.08,0.06,10.0,0.5,1.0,0.5,True,False,False,False,False,False,False,False,False,False
1.0,2957.595,1874.9,10.365,99.925,1.015,1041.95,100.55,11.765,392.25,0.525,87.135,9.1,17.81,212.995,2.9,41.0,4.0,11.0,4.0,0.4,2867.405,1820.1,8.935,83.925,0.285,271.95,40.55,2.235,387.75,0.395,86.865,9.1,17.59,209.585,0.54,33.0,2.0,5.0,2.0,True,False,False,False,False,False,False,False,False,False
0.595,4376.5,2550.5,12.26,118.4,1.255,760.15,42.0,9.0,9.05,0.295,68.85,9.65,24.9,543.25,1.665,49.5,5.0,6.5,4.0,0.045,1353.5,742.5,4.39,62.55,0.085,0.85,18.0,1.9,2.75,0.155,11.35,1.55,11.1,193.75,0.165,23.5,1.0,1.5,1.0,True,False,False,False,False,False,False,False,False,False
0.715,2792.5,1344.85,6.47,54.925,1.24,620.1,89.9,10.7,27.1,1.91,117.35,17.35,12.38,321.245,1.63,24.0,3.5,5.0,2.0,0.045,1177.5,891.15,5.94,47.985,0.01,99.9,30.1,2.4,18.9,1.67,32.65,5.65,9.38,174.145,0.65,21.0,1.5,4.0,1.0,True,False,False,False,False,False,False,False,False,False
0.975,1398.5,853.13,5.1,76.245,1.575,728.75,-78.0,19.5,26.55,0.44,148.4,23.0,7.3,127.27,1.345,34.0,4.5,7.0,2.0,0.025,358.5,258.87,3.55,36.165,0.165,138.95,78.0,6.4,4.25,0.21,51.6,8.3,1.23,27.4,0.345,14.0,0.5,5.0,0.0,True,False,False,False,False,False,False,False,False,False
0.845,4549.0,2505.0,13.26,164.425,1.465,652.5,55.0,15.96,2.25,0.16,95.95,10.1,21.55,356.29,1.745,67.5,6.0,4.5,4.5,0.245,1276.0,1190.0,6.04,19.425,0.165,117.5,5.0,6.43,2.25,0.03,78.05,8.1,13.85,66.29,0.615,6.5,0.0,1.5,1.5,True,False,False,False,False,False,False,False,False,False
0.74,3041.5,1622.5,5.2,85.755,1.245,735.7,-95.0,12.0,10.45,0.995,105.35,13.05,11.385,263.5,1.395,35.0,4.0,2.5,2.5,0.29,201.5,62.5,3.35,76.745,0.345,163.7,145.0,7.0,0.85,0.825,94.65,11.95,0.325,33.5,0.175,31.0,2.0,0.5,0.5,True,False,False,False,False,False,False,False,False,False
1.515,2145.5,797.77,4.44,138.575,1.995,452.85,47.745,45.835,53.45,0.215,26.2,3.45,6.485,175.71,0.965,57.5,6.0,2.0,2.0,0.225,1201.5,496.23,2.57,5.665,0.355,77.15,2.255,25.235,46.55,0.025,9.7,1.85,4.395,107.97,0.175,2.5,0.0,1.0,1.0,True,False,False,False,False,False,False,False,False,False
0.82,3696.5,2178.5,10.585,133.0,1.415,646.0,80.0,13.5,8.1,0.205,66.6,8.0,21.335,409.405,1.715,55.5,5.5,5.5,3.0,0.2,728.5,431.5,1.785,31.93,0.165,65.0,30.0,5.2,1.7,0.035,50.4,6.9,4.185,158.365,0.485,11.5,0.5,2.5,0.0,True,False,False,False,False,False,False,False,False,False
0.655,3715.0,2168.0,10.635,79.88,1.2,723.85,110.5,7.445,9.9,0.34,103.85,14.75,21.36,472.635,2.055,36.0,4.5,9.0,2.5,0.035,710.0,442.0,1.735,21.19,0.05,12.85,0.5,0.855,3.5,0.1,13.15,0.15,4.16,95.135,0.145,8.0,0.5,1.0,0.5,True,False,False,False,False,False,False,False,False,False
0.71,2647.5,1279.89,7.25,83.41,1.31,605.55,46.5,11.465,18.5,0.34,87.65,5.65,11.63,282.92,1.72,36.5,4.5,9.5,3.0,0.09,297.5,850.11,0.06,31.41,0.13,47.25,17.5,4.235,13.6,0.11,6.05,2.25,8.37,56.58,0.06,12.5,0.5,3.5,0.0,True,False,False,False,False,False,False,False,False,False
0.785,1759.0,448.59,7.28,91.065,1.335,723.25,14.5,12.45,25.25,0.3,68.7,8.25,5.83,177.965,1.75,39.5,4.5,12.5,2.5,0.165,719.0,145.67,1.37,21.345,0.075,144.45,14.5,0.65,5.55,0.07,28.1,6.45,0.24,78.095,0.06,8.5,0.5,0.5,0.5,True,False,False,False,False,False,False,False,False,False
1.305,1359.0,712.315,1.54,62.775,1.95,496.4,-54.555,40.9,56.65,0.505,129.1,39.55,5.435,111.935,0.91,28.5,4.5,1.5,1.5,0.305,398.0,399.685,0.01,22.695,0.21,93.4,101.445,15.0,34.35,0.145,70.9,8.25,3.095,42.735,0.09,8.5,0.5,0.5,0.5,True,False,False,False,False,False,False,False,False,False
0.725,3191.5,1681.0,5.46,88.135,1.235,744.2,-95.0,11.7,10.35,0.995,107.15,13.1,14.43,294.94,1.405,36.0,4.0,2.5,2.5,0.275,51.5,121.0,3.61,79.125,0.335,155.2,145.0,6.7,0.95,0.825,92.85,11.9,2.72,2.06,0.165,32.0,2.0,0.5,0.5,True,False,False,False,False,False,False,False,False,False
0.96,4023.5,2007.0,14.805,168.23,1.455,705.0,100.0,14.57,6.65,0.16,81.75,11.45,18.62,423.63,1.67,68.5,6.0,6.0,3.5,0.33,676.5,713.0,7.795,23.99,0.185,175.0,50.0,6.03,0.25,0.03,65.25,9.85,7.74,139.95,0.53,8.5,0.0,3.0,0.5,True,False,False,False,False,False,False,False,False,False
0.95,3453.5,1614.5,5.775,96.06,1.48,594.0,35.0,15.62,7.75,0.355,19.2,2.1,14.74,354.44,1.34,41.0,5.0,3.5,3.5,0.34,106.5,320.5,1.235,48.18,0.16,64.0,15.0,4.98,0.85,0.165,2.7,0.5,3.86,70.76,0.2,19.0,1.0,0.5,0.5,True,False,False,False,False,False,False,False,False,False
0.815,2210.5,1337.5,6.84,116.085,1.405,769.5,63.5,16.5,6.7,0.285,30.3,2.3,21.59,172.055,1.68,48.5,5.0,9.0,3.0,0.235,1334.5,247.5,1.06,41.165,0.205,177.5,13.5,3.4,8.7,0.045,19.7,1.5,6.11,139.655,0.48,15.5,1.0,6.0,0.0,True,False,False,False,False,False,False,False,False,False
1.57,1915.925,947.475,5.675,119.415,1.365,851.95,187.3,22.4,4.7,0.205,5.61,0.45,8.045,154.86,2.08,50.0,5.0,10.0,2.0,0.39,1584.075,681.525,2.555,39.515,0.225,287.95,137.3,3.2,4.7,0.025,5.49,0.45,2.755,140.14,0.88,15.0,1.0,7.0,1.0,True,False,False,False,False,False,False,False,False,False
0.86,3120.0,1281.25,5.465,92.955,1.385,570.8,47.5,14.6,16.25,0.54,124.05,19.3,10.75,292.9,1.405,39.0,4.5,8.0,3.0,0.32,380.0,347.75,2.765,65.975,0.205,6.8,2.5,4.6,6.85,0.36,112.95,18.4,0.05,2.1,0.205,26.0,1.5,5.0,0.0,True,False,False,False,False,False,False,False,False,False
0.67,2902.5,1766.0,7.055,62.685,1.305,724.35,-60.0,11.135,15.6,0.63,136.5,18.65,17.235,347.685,1.755,28.0,4.0,5.0,2.5,0.05,1522.5,844.0,5.315,38.385,0.055,13.35,170.0,2.835,9.2,0.39,19.5,3.75,8.285,220.085,0.445,16.0,1.0,3.0,0.5,True,False,False,False,False,False,False,False,False,False
0.59,3350.5,2392.5,12.54,129.385,1.25,858.5,68.5,11.315,9.95,0.23,112.0,11.0,31.55,227.49,2.26,53.5,5.0,10.5,4.5,0.01,2474.5,1302.5,6.76,54.465,0.05,88.5,8.5,1.785,5.45,0.1,62.0,7.2,3.85,195.09,0.1,20.5,1.0,4.5,1.5,True,False,False,False,False,False,False,False,False,False
0.855,1817.44,980.155,11.225,129.64,1.32,871.85,55.5,10.705,31.2,0.29,49.52,7.8,9.745,218.4,1.955,54.0,5.0,11.0,2.0,0.165,1187.56,745.845,2.325,70.95,0.17,135.15,55.5,4.115,17.8,0.15,41.18,6.8,7.455,159.1,0.045,26.0,1.0,1.0,0.0,True,False,False,False,False,False,False,False,False,False
1.4,2506.925,1196.975,4.815,85.56,1.295,899.95,187.3,19.85,2.85,0.255,11.41,1.15,13.145,302.61,2.145,37.5,4.5,10.5,2.5,0.56,2175.075,931.025,1.695,5.66,0.155,239.95,137.3,5.75,2.85,0.025,11.29,1.15,7.855,287.89,0.815,2.5,0.5,6.5,1.5,True,False,False,False,False,False,False,False,False,False
0.835,3489.5,2121.5,6.485,123.15,1.46,613.95,73.0,14.675,2.4,0.225,75.65,9.2,23.545,391.015,1.665,52.0,5.5,4.5,4.5,0.245,1422.5,774.5,3.735,27.21,0.16,70.95,23.0,5.275,2.4,0.025,62.35,8.1,12.455,199.385,0.495,10.0,0.5,1.5,1.5,True,False,False,False,False,False,False,False,False,False
1.085,3023.5,1515.04,7.485,98.39,1.48,673.5,62.85,15.05,15.1,0.265,223.1,32.35,14.225,321.965,1.575,43.0,5.0,7.0,2.0,0.065,587.5,279.96,3.015,9.48,0.14,57.5,62.85,4.75,3.8,0.035,205.9,30.55,2.925,71.335,0.355,4.0,0.0,4.0,1.0,True,False,False,False,False,False,False,False,False,False
0.635,4857.5,2731.0,15.585,142.565,1.305,772.0,123.0,9.705,6.85,0.2,100.35,13.95,26.63,626.84,1.9,59.0,5.5,7.0,4.5,0.005,157.5,11.0,7.015,49.655,0.035,108.0,27.0,1.165,0.45,0.07,46.65,7.35,0.27,63.26,0.3,18.0,0.5,2.0,0.5,True,False,False,False,False,False,False,False,False,False
0.945,1808.0,963.905,8.815,86.63,1.295,818.7,62.85,9.75,24.55,0.31,272.5,39.9,9.34,182.965,1.79,38.5,4.5,11.5,1.5,0.205,628.0,271.175,1.685,21.24,0.045,87.7,62.85,0.55,5.65,0.08,156.5,23.0,1.96,67.665,0.14,8.5,0.5,0.5,0.5,True,False,False,False,False,False,False,False,False,False
0.585,4475.0,2731.5,14.355,120.57,1.24,745.0,80.0,8.635,6.75,0.31,59.15,8.15,26.045,537.15,1.915,49.5,5.0,6.5,4.5,0.045,825.0,568.5,8.245,69.63,0.02,95.0,30.0,0.145,1.65,0.18,28.45,4.15,3.245,90.45,0.285,26.5,1.0,1.5,0.5,True,False,False,False,False,False,False,False,False,False
1.49,743.925,318.475,2.045,51.445,1.34,817.85,188.65,24.65,35.5,0.73,70.56,10.05,3.945,56.365,1.945,23.0,3.5,9.0,1.0,0.47,412.075,52.525,1.075,28.455,0.2,322.05,135.95,0.95,35.5,0.5,70.44,10.05,1.345,41.645,1.015,12.0,0.5,8.0,0.0,True,False,False,False,False,False,False,False,False,False
0.905,4400.0,2464.5,15.415,174.565,1.425,702.0,80.0,13.845,7.25,0.155,49.35,6.6,20.045,461.3,1.7,70.5,6.0,5.5,3.5,0.275,900.0,835.5,7.185,15.635,0.165,138.0,30.0,5.355,2.15,0.025,38.25,5.7,9.245,166.3,0.5,5.5,0.0,2.5,0.5,True,False,False,False,False,False,False,False,False,False
